iter	Passed	Remaining
407	4995	1126
408	5017	1116
409	5033	1104
410	5040	1091
411	5048	1078
412	5056	1065
413	5078	1054
414	5086	1041
415	5094	1028
416	5102	1015
417	5110	1002
418	5124	990
419	5156	982
420	5164	969
421	5171	955
422	5179	942
423	5186	929
424	5194	916
425	5201	903
426	5210	890
427	5218	877
428	5225	864
429	5233	851
430	5249	840
431	5257	827
432	5264	814
433	5279	802
434	5287	790
435	5295	777
436	5303	764
437	5312	751
438	5320	739
439	5358	730
440	5365	717
441	5374	705
442	5381	692
443	5389	679
444	5403	667
445	5411	655
446	5419	642
447	5426	629
448	5434	617
449	5442	604
450	5450	592
451	5466	580
452	5473	567
453	5481	555
454	5498	543
455	5505	531
456	5513	518
457	5521	506
458	5529	493
459	5544	482
460	5551	469
461	5559	457
462	5566	444
463	5575	432
464	5583	420
465	5591	407
466	5605	396
467	5612	383
468	5620	371
469	5627	359
470	5651	347
471	5682	337
472	5689	324
473	5697	312
474	5704	300
475	5712	288
476	5719	275
477	5743	264
478	5759	252
479	5767	240
480	5775	228
481	5790	216
482	5797	204
483	5805	191
484	5813	179
485	5820	167
486	5838	155
487	5866	144
488	5873	132
489	5882	120
490	5890	107
491	5899	95
492	5906	83
493	5914	71
494	5922	59
495	5930	47
496	5937	35
497	5945	23
498	5953	11
499	5961	0
