model,ROC-AUC,PR-AUC,Top-Decile Lift,Precision@10%,Recall@10%,ECE,Cal. Slope,Brier,Base Churn Rate,ROC-AUC >=0.75,PR-AUC >=0.40,Lift >=2.5,ECE <=0.05
heuristic,0.7745,0.6012,2.1967,0.728,0.2197,0.0806,0.1819,0.1762,0.3314,PASS,PASS,FAIL,FAIL
logistic,0.7929,0.6529,2.233,0.74,0.2233,0.1198,0.9643,0.183,0.3314,PASS,PASS,FAIL,FAIL
xgboost,0.7999,0.6681,2.3295,0.772,0.233,0.047,0.9641,0.1631,0.3314,PASS,PASS,FAIL,PASS
catboost,0.8035,0.671,2.3396,0.7753,0.234,0.0393,0.9698,0.1611,0.3314,PASS,PASS,FAIL,PASS
